review,rating,label
semakin di update semakin repot,1,negatif
"BIAYA ADMIN bisa LEBIH MAHAL LAGI ga. MISAL TF 10K, BIAYA ADMINNYA 7K.",1,negatif
"mantab,respon cepat,progres cepat",5,positif
sangat2 membantuuuuu👍👍👍👍👍👍,5,positif
mantap,5,positif
lebih mudah menggunakan aplikasi.. 👍🏻👍🏻,5,positif
"Aplikasinya sering eror... Time out terus, harusnya bisa mempermudah tp kok malah bikin susah, tolong dong diperbaiki",5,positif
susah untuk pencet tombol tambahkan sebagai penumpang nggak berfungsi ...😡😡😡😡😡,1,negatif
adminnya smpe 3 rb mahal bgttttt... isi 10 rb masuknya cm 7 rb ..gila ..kalah sm yg lain yg gada admin or cuma 1 rb,1,negatif
trimakasih,4,positif
"Maaf, knapa Acces Kai ga bisa dibuka di hp saya ?",3,netral
tombol tambahkan sebagai penumpang nya di permudah,1,negatif
Sipppzzzt🤩,5,positif
sangat mengecewakan perubahan jadwal tidak ada pengembalian dana selisih!,1,negatif
mantep,5,positif
alat tranportasi terbaik.murah nyaman,5,positif
ok,5,positif
"tolong ini kenapa tiba tiba gabisa dibuka, saya mau cetak e boarding pass dibilang aplikasi tidak kompatibel, ini gimana setengah jam lagi berangkat",1,negatif
sangat membantu sekali keren Access,5,positif
baik',5,positif
puas,5,positif
sangat baik dan ok,5,positif
minimal versi Android berapa sih . ko di versi Android 12 gak bisa,1,negatif
"Satu kekurangan, kenapa dalam 1 device atau 1 akun kai access dalam pembelian tiket KA lokal hanya bisa 4 penumpang saja bagaimana jika ada penumpang membawa 1 keluarga yang beranggotakan 6 orang tetapi hanya mempunyai 1 device/hp berarti 2 orang harus beli tiket secara offline begitu ? tolong kembalikan lagi fitur yang dimana 1 hp itu bisa membeli lebih dari 4 penumpang dalam 1 kali pembelian",4,positif
"bagus, memudahkan memesan tiket",5,positif
gabisa login padahal email sama pswd udah bener,4,positif
aplikasi eror apa gimana? masa gak ada muncul tujuan kereta h-2 hari pesan. mahal mahal pula 400k ke atas,1,negatif
Bintang 3 buat customer service nya dalam antrean mulu padahal udah nunggu 3 jam,3,netral
sangat bagus,5,positif
tolong dperbaiki di fitur transfer tiket tidak bisa terhubung dengan data penumpang lainnya,4,positif
mudah bangetttt,5,positif
jos,5,positif
service baik,5,positif
KAI IS THE BEST,5,positif
"Negara hadir karna adanya masyarakat didalamnya,, buat terobosan KAI, tambah kereta saat mudik lebaran tambah gerbong, tambah jam pemberangkatan,, masuk system KAI aza gk bisa palagi dapat tiket lebaran, kecewa gw udah gAdang 2 mlem blesanya Kya gini, mikir KAI Mikir BUMN, apa sengaja d setting ini hah buat golongan tertentu yg bisa acces bisa beli,, tak mengedepankan KEBERADILAN.",3,netral
puas,5,positif
terbaik,3,netral
"sering error dan harus uninstall terus""an dan terlalu sering update, dan apk tidak bisa digunakan jika belum update jika keadaan genting itu sangat merepotkan",1,negatif
"Aplikasinya tiba-tiba tidak dapat berfungsi dan force close terus menerus, setelah diliat ternyata aplikasinya malah tidak mendukung perangkat saya, padahal hp saya terbilang baru dengan versi android 13. Tolong berbenah lagi, padahal seminggu yang lalu aplikasinya masih bisa saya buka 👎🏻",1,negatif
bagus banget ngebantu buat pesen tiket gampang banget dipake bisa direfund juga semisal ga jadi berangkat walaupun ga kembali 100% uangnya kalo direfund tapi it's okay good,5,positif
perjalanan menyenangkan,5,positif
"wow, bitang bagus... gogogo KAI!!!!!!!",4,positif
"perangkat tidak kompatibel dengan android 12,kecewa gak segera update, padahal sudah booking jadwal keberangkatan tapi harus tanya ke admin cs untuk comuter lokal",1,negatif
lumyan baik,2,negatif
keren...,5,positif
Agak error kalau pesan app,3,netral
baik,5,positif
"masih ada bug ini masa tiket tidak ada sih, pas saya pake fitur lihat tiket kosong juga gk muncul, tolong di perbaiki lagi aplikasinya",1,negatif
mantap,4,positif
"Aplikasi terbaik dari pesan tiket, reschedule tiket, refund tiket semuanya sudah saya coba dan aman tidak ada banyak drama nya... Semoga selalu seperti ini pelayana digital PT. KAI",5,positif
"Terima kasih KAI,selalu puas pakai KAI ,",5,positif
kenapa tidak berfungsi di redmi note 12 4g nfc?,3,netral
"Mohon nomor kursi otomatis dihilangkan (nomor 1). Dalam kondisi buru-buru, pernah satu kali dapat nomor kursi 1. Untuk pindah nomor kursi, kena biaya admin 25% harga tiket. Padahal kursi masih banyak kosong.",4,positif
Alhamdulillah aplikasi yang sangat membantu untuk mempermudah pembelian tiket.....👍,5,positif
membantu dengan aplikasi ini,5,positif
ok.. mantap,5,positif
sangat puas,5,positif
gak bisa instal,5,positif
Kereta adalah alat transportasi paling favorit....kereen dan mantap...sudah ga pernah bawa mobil lagi kemanapun bye KAI,5,positif
saya berharap untuk metode pembayaran e-wallet bisa di tambah lagi seperti contoh dana dll,3,netral
"nyaman, aman, tepat waktu ...",5,positif
sangat mudah pemesanan nya,5,positif
aplikasinya sngt membantu,5,positif
oke,5,positif
Baik,5,positif
sering eror,4,positif
terbaik,5,positif
kenapa gak bisa di instal di hp saya,5,positif
amazin,5,positif
oke bngt,5,positif
sangat bagus layanan untuk memesan tiket kereta terimakasih access by KAI,5,positif
Ok Banget,5,positif
oke,5,positif
"Terima kasih, KAI benar - benar hebat layanan nya Cepat dan mudah",5,positif
bagus,5,positif
jelek harus di update terus,2,negatif
"Aplikasinya bagus sekali, sukses KAI",5,positif
sangat nyaman,5,positif
baik,5,positif
pokok'Ok,5,positif
Aplikasinya keren dan mudah digunakan.,5,positif
Very good,5,positif
ok baik,5,positif
SERING MINTA UPDATE,3,netral
bagus,4,positif
aplikasi keren dan sangat membantu dalam perjalanan dan simpel dalam penggunaan.,5,positif
"pas mau diupdate kok malah prangkatnya tidak kompatibel, sayang sekali padahal dulu bisa pakai semua perangkat sekarang tidak bisa lagi",1,negatif
tolong perbaiki aplikasinya gampang nge bug saat pemesanan tiket,3,netral
Baik,5,positif
"Kami berdua awal bulan Juli 2024 naik kereta api dari Jkt ke Semarang , dalam perjalanan suami merasa nggak enak badan , badan panas , menggigil , waktu itu juga team kesehatan gerak cepat diambilkan tambahan selimut , sampai di stasiun cirebon ada team Dr yg ngecek dan langsung dapat obat sehingga Puji Tuhan sampai di Semarang sudah sehat kembali , terima kasih atas perhatiannya 🙏",5,positif
pelayanan nya bagus,5,positif
"selama menggunakan apk ini baguss banyak promo, namun tdi siang saat saya mau buka apk nya, tidak bisa selalu keluar dan ada notifikasi jika apk berbahaya dan harus dinonaktifkan lalu saya nonaktifkan, setelah itu masih tidak bisa di buka lalu saya cb uninstal niatnya biar saya instal lagi kalu aja bisa, tapi ternyata tampilannya tidak dapat di instal, kira kira kenapa ya KAI?? 😔",4,positif
sangt membantu buat sya yg sering ke luar kota,5,positif
"aplikasi ga jelas, disuruh jd member basic biar bisa pesan tiket di aplikasi. sudah isi data, verifikasi otp ke email jg sudah berhasil, balik ke profil lagi malah ga berubah, malah disuruh jdi member basic lagi dan gagal terus",1,negatif
"susah buat masuk ,pdhal dh didownload dn akunnya dh bener,,tp knpa yh,,agk ribet buat orng awam sprti sya,dh keluar masuk ttp GK bisa ,pdhal mau psen",2,negatif
sangat membantu perjalanan. namun.! saat saya melakukan refond tiket kereta sangatlah lama untuk di lakukan pencairan. di koreksi lagi agar lebih bagus lagi kualitas layanan online nya.,5,positif
sangat membantu,5,positif
"pelayan semakin mudah, bagus dan memuaskan",5,positif
Mantap,5,positif
mantap,5,positif
"sangat bagus, mempermudah transaksi",5,positif
ribet....gak flexsibel..pendaftaran penumoang anak2 kalo mendadak ribet..,1,negatif
"KAI mantap, dngn Apk ini jadi memudahkan trànsaksi",5,positif
semakin melayani,5,positif
"Setiap mau upgrade ke member BASIC,kendalanya selalu stuck saat setelah memasukan kode verif dari gmail. mohon update Bug tersebut... karena gk bisa upgrade ke member BASIC...",1,negatif
"aplikasi sampah,kecewa dengan aplikasi ini",1,negatif
aplikasi nya sangat membantu untuk memudahkan pelanggan dalam menempuh perjalanan jauh... terimakasih KAI,5,positif
Mantap,5,positif
